OBJECTID,COD_ID,DIST,SUB_GRP,ENE_01,ENE_02,ENE_03,ENE_04,ENE_05,ENE_06,ENE_07,ENE_08,ENE_09,ENE_10,ENE_11,ENE_12,DESCR
"1",A3A,"390",A3A,325.45890773529,311.90170747793,307.92078143706,292.96237299666,283.7969397448,270.44107489631,294.68165296739,271.54600454245,297.96278415,312.34437243689,337.85020708814,329.60194152668, 
"2",A4,"390",A4,243.31561615,240.66487584,241.78722335,234.96429981,225.66373072,230.24207613,238.26216321,231.37482478,263.24262097,250.17679869,273.28016611,260.67163897, 
"3",B,"390",B,274870.472353713,232789.139496552,275821.275744094,226428.114468758,255435.24520531,234436.569629207,255165.033955739,252315.395470991,256525.959686188,228579.077261839,237898.208609786,242034.964797082, 
